Using backend: pytorch
Namespace(dataset='Cora', dropout=0.75, early_stopping=100, epochs=200, gpu=0, hid_dim=16, lamb=0.0005, lr=0.01, num_layers=1, num_stacks=2)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  92816

Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.8214 | Train Loss 0.7885 | Val Acc 0.4720 | Val loss 1.4772:  49%|████▉     | 98/200 [00:01<00:00, 106.75it/s]
Train Acc 0.8000 | Train Loss 0.7458 | Val Acc 0.5120 | Val loss 1.4223:  49%|████▉     | 98/200 [00:01<00:00, 106.75it/s]
Train Acc 0.8071 | Train Loss 0.7110 | Val Acc 0.5080 | Val loss 1.4130:  49%|████▉     | 98/200 [00:01<00:00, 106.75it/s]
Train Acc 0.8786 | Train Loss 0.6357 | Val Acc 0.5200 | Val loss 1.4042:  49%|████▉     | 98/200 [00:01<00:00, 106.75it/s]
Train Acc 0.8786 | Train Loss 0.6357 | Val Acc 0.5200 | Val loss 1.4042:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8286 | Train Loss 0.6763 | Val Acc 0.5580 | Val loss 1.3667:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8214 | Train Loss 0.7197 | Val Acc 0.4880 | Val loss 1.4516:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8143 | Train Loss 0.6817 | Val Acc 0.5180 | Val loss 1.4449:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8000 | Train Loss 0.6423 | Val Acc 0.5720 | Val loss 1.3310:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8429 | Train Loss 0.6780 | Val Acc 0.4720 | Val loss 1.4536:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8071 | Train Loss 0.8040 | Val Acc 0.4820 | Val loss 1.4448:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8571 | Train Loss 0.6299 | Val Acc 0.5260 | Val loss 1.3970:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8500 | Train Loss 0.6430 | Val Acc 0.5340 | Val loss 1.3463:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8071 | Train Loss 0.6403 | Val Acc 0.5140 | Val loss 1.3707:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
